student_id,name,university,faculty,year_of_study,average_mark,attendance,failed_modules,missed_assignments,risk_score,risk_level
NSFAS000001,Lindiwe Ngcobo,University of Stellenbosch,Commerce,2,44.45,0.0,4,0,100,HIGH
NSFAS000002,Zanele Mokoena,University of Johannesburg,Arts,3,75.0,95.0,0,1,0,LOW
NSFAS000003,Lindiwe Mhlongo,University of KwaZulu-Natal,Engineering,2,60.49,65.0,1,4,40,MEDIUM
NSFAS000004,Busisiwe Ngcobo,University of Johannesburg,Science,2,40.0,62.0,4,0,100,HIGH
NSFAS000005,Thabo Ngcobo,University of the Witwatersrand,Arts,3,45.32,46.0,1,3,80,HIGH
NSFAS000006,Lerato Mabaso,University of KwaZulu-Natal,Arts,4,40.0,29.0,2,2,80,HIGH
NSFAS000007,Thabo Molefe,University of KwaZulu-Natal,Engineering,4,69.69,66.0,0,5,40,MEDIUM
NSFAS000008,Themba Dlamini,University of Johannesburg,Science,1,40.0,63.0,3,4,100,HIGH
NSFAS000009,Lindiwe Mabaso,University of Cape Town,Science,3,85.1,95.0,0,0,0,LOW
NSFAS000010,Sipho Dlamini,University of KwaZulu-Natal,Science,2,53.63,76.0,0,2,0,LOW
NSFAS000011,Busisiwe Mthembu,University of the Witwatersrand,Law,1,75.0,86.0,1,4,0,LOW
NSFAS000012,Mpho Mahlangu,University of Pretoria,Science,1,75.0,87.0,1,1,0,LOW
NSFAS000013,Sipho Nkosi,University of KwaZulu-Natal,Science,2,40.0,62.0,1,2,80,HIGH
NSFAS000014,Sibusiso Ngcobo,University of KwaZulu-Natal,Education,2,64.91,74.0,0,1,0,LOW
NSFAS000015,Kagiso Mthethwa,University of Johannesburg,Engineering,3,76.01,80.0,0,3,0,LOW
NSFAS000016,Themba Mkhize,North-West University,Education,3,64.67,74.0,0,3,0,LOW
NSFAS000017,Tshepo Mthembu,University of the Free State,Education,4,30.0,32.0,3,1,100,HIGH
NSFAS000018,Kagiso Mhlongo,University of the Witwatersrand,Commerce,2,30.0,60.0,2,5,80,HIGH
NSFAS000019,Zanele Mahlangu,University of Johannesburg,Science,4,41.36,41.0,4,2,100,HIGH
NSFAS000020,Nokuthula Mokoena,University of Pretoria,Science,4,75.0,79.0,1,3,0,LOW
NSFAS000021,Lerato Mkhize,University of Johannesburg,Commerce,1,43.52,27.0,3,4,100,HIGH
NSFAS000022,Kagiso Mhlongo,North-West University,Education,1,63.42,69.0,1,1,40,MEDIUM
NSFAS000023,Nokuthula Dlamini,University of Johannesburg,Law,1,40.0,55.0,1,4,80,HIGH
NSFAS000024,Lerato Khumalo,University of Johannesburg,Commerce,1,48.61,34.0,3,5,100,HIGH
NSFAS000025,Nokuthula Mahlangu,University of KwaZulu-Natal,Education,3,40.0,60.0,4,0,100,HIGH
NSFAS000026,Lerato Ngcobo,North-West University,Arts,2,40.0,0.0,2,2,80,HIGH
NSFAS000027,Andile Mkhize,University of Pretoria,Education,2,58.43,60.0,0,3,40,MEDIUM
NSFAS000028,Nokuthula Mahlangu,University of Pretoria,Law,1,40.0,42.0,4,3,100,HIGH
NSFAS000029,Lerato Mhlongo,University of KwaZulu-Natal,Law,1,40.76,63.0,4,4,100,HIGH
NSFAS000030,Mpho Khumalo,University of Pretoria,Law,1,52.92,63.0,1,5,40,MEDIUM
NSFAS000031,Andile Dlamini,University of Pretoria,Education,2,75.0,77.0,1,0,0,LOW
NSFAS000032,Andile Mahlangu,University of the Free State,Education,3,69.61,72.0,1,5,0,LOW
NSFAS000033,Nokuthula Nkosi,University of Johannesburg,Commerce,2,75.0,78.0,0,1,0,LOW
NSFAS000034,Lerato Khumalo,University of Cape Town,Science,2,73.29,75.0,1,1,0,LOW
NSFAS000035,Nokuthula Ngcobo,University of Stellenbosch,Engineering,1,53.06,64.0,1,5,40,MEDIUM
NSFAS000036,Kagiso Dlamini,University of Pretoria,Commerce,1,40.0,25.0,3,1,100,HIGH
NSFAS000037,Phumzile Mkhize,University of the Witwatersrand,Law,3,40.0,34.0,2,0,80,HIGH
NSFAS000038,Nokuthula Mokoena,University of the Free State,Commerce,2,82.81,82.0,1,0,0,LOW
NSFAS000039,Mpho Mkhize,University of Cape Town,Science,2,40.0,30.0,4,4,100,HIGH
NSFAS000040,Nokuthula Khumalo,University of the Witwatersrand,Arts,2,49.0,50.0,1,1,80,HIGH
NSFAS000041,Nomsa Mokoena,University of Pretoria,Science,4,40.0,59.0,3,2,100,HIGH
NSFAS000042,Busisiwe Mahlangu,University of Stellenbosch,Law,2,30.0,43.0,3,5,100,HIGH
NSFAS000043,Mpho Mhlongo,North-West University,Education,1,51.14,79.0,0,2,0,LOW
NSFAS000044,Nomsa Dlamini,University of Johannesburg,Education,4,75.0,94.0,1,2,0,LOW
NSFAS000045,Busisiwe Mkhize,University of the Witwatersrand,Science,4,40.0,47.0,1,4,80,HIGH
NSFAS000046,Themba Dlamini,University of the Witwatersrand,Arts,2,40.37,42.0,2,4,80,HIGH
NSFAS000047,Phumzile Mthethwa,University of Johannesburg,Commerce,4,75.0,95.0,0,1,0,LOW
NSFAS000048,Themba Molefe,University of KwaZulu-Natal,Engineering,4,64.71,56.0,2,0,40,MEDIUM
NSFAS000049,Lindiwe Nkosi,University of KwaZulu-Natal,Commerce,3,49.25,24.0,3,0,100,HIGH
NSFAS000050,Thabo Mkhize,University of Johannesburg,Engineering,1,30.0,26.0,4,5,100,HIGH
NSFAS000051,Andile Ngcobo,University of the Witwatersrand,Commerce,3,50.38,85.0,0,0,0,LOW
NSFAS000052,Andile Dlamini,University of Johannesburg,Arts,1,40.0,35.0,2,3,80,HIGH
