student_id,name,university,faculty,year_of_study,average_mark,attendance,failed_modules,missed_assignments
NSFAS000001,Tshepo Mahlangu,University of KwaZulu-Natal,Arts,1,40.0,27.0,2,0
NSFAS000002,Lindiwe Mabaso,University of Stellenbosch,Engineering,3,40.0,39.0,2,3
NSFAS000003,Sibusiso Mabaso,University of the Free State,Education,2,75.0,83.0,1,3
NSFAS000004,Mpho Dlamini,University of the Free State,Education,4,44.31,24.0,1,4
NSFAS000005,Andile Molefe,University of Pretoria,Arts,2,72.08,90.0,1,1
NSFAS000006,Lindiwe Zulu,University of the Witwatersrand,Education,4,44.24,59.0,2,5
NSFAS000007,Sipho Mahlangu,University of the Free State,Education,2,53.48,84.0,1,3
NSFAS000008,Andile Mkhize,University of Cape Town,Engineering,4,40.84,23.0,4,0
NSFAS000009,Nomsa Mkhize,North-West University,Science,2,30.0,43.0,1,5
NSFAS000010,Tshepo Molefe,University of Stellenbosch,Science,3,48.67,29.0,1,1
NSFAS000011,Phumzile Nkosi,North-West University,Science,3,47.44,31.0,1,1
NSFAS000012,Sipho Dlamini,University of the Free State,Arts,4,30.0,42.0,1,1
NSFAS000013,Themba Khumalo,University of KwaZulu-Natal,Arts,4,40.0,63.0,2,0
NSFAS000014,Thabo Mthethwa,University of the Free State,Education,3,30.0,51.0,3,1
NSFAS000015,Kagiso Molefe,University of Cape Town,Law,2,75.0,92.0,0,1
NSFAS000016,Themba Mhlongo,University of KwaZulu-Natal,Engineering,1,40.0,39.0,1,1
NSFAS000017,Nokuthula Mthembu,University of Stellenbosch,Education,2,40.0,29.0,2,2
NSFAS000018,Lindiwe Dlamini,University of the Free State,Commerce,3,75.0,95.0,1,4
NSFAS000019,Lindiwe Mahlangu,University of Stellenbosch,Education,2,75.0,80.0,0,3
NSFAS000020,Lindiwe Zulu,University of Stellenbosch,Education,1,40.0,40.0,1,0
NSFAS000021,Phumzile Nkosi,University of Cape Town,Law,4,43.99,49.0,1,2
NSFAS000022,Sibusiso Mhlongo,University of KwaZulu-Natal,Science,4,75.0,92.0,1,1
NSFAS000023,Nomsa Zulu,University of Stellenbosch,Engineering,1,40.0,39.0,3,4
NSFAS000024,Zanele Mokoena,University of Cape Town,Arts,3,61.31,72.0,1,4
NSFAS000025,Phumzile Ngcobo,University of Pretoria,Commerce,1,40.85,28.0,4,1
NSFAS000026,Sipho Mthembu,University of Stellenbosch,Commerce,3,44.29,54.0,3,3
NSFAS000027,Nokuthula Mthethwa,University of KwaZulu-Natal,Commerce,4,40.0,22.0,3,0
NSFAS000028,Zanele Molefe,University of Stellenbosch,Commerce,1,68.93,72.0,1,1
NSFAS000029,Sibusiso Dlamini,North-West University,Arts,4,75.0,75.0,1,5
NSFAS000030,Sibusiso Mthethwa,University of the Free State,Engineering,3,61.74,69.0,1,0
NSFAS000031,Thabo Ngcobo,University of Cape Town,Education,2,40.22,41.0,4,1
NSFAS000032,Andile Mabaso,University of Stellenbosch,Commerce,1,58.27,76.0,0,3
NSFAS000033,Phumzile Mahlangu,University of the Free State,Arts,4,40.0,47.0,1,4
NSFAS000034,Mpho Mthethwa,University of Stellenbosch,Law,2,53.75,78.0,0,0
NSFAS000035,Zanele Mokoena,University of KwaZulu-Natal,Engineering,1,30.0,55.0,3,3
NSFAS000036,Tshepo Mabaso,University of Cape Town,Arts,1,30.0,65.0,1,0
NSFAS000037,Nomsa Mthembu,University of the Free State,Arts,4,49.14,29.0,4,0
NSFAS000038,Thabo Mokoena,University of Cape Town,Science,4,71.69,77.0,0,0
NSFAS000039,Andile Khumalo,North-West University,Law,4,49.4,64.0,1,1
NSFAS000040,Themba Dlamini,University of Johannesburg,Commerce,1,40.0,56.0,1,5
NSFAS000041,Tshepo Mokoena,University of Pretoria,Science,2,40.0,51.0,2,2
NSFAS000042,Mpho Ngcobo,University of Johannesburg,Education,4,40.0,37.0,4,1
NSFAS000043,Busisiwe Mhlongo,University of Johannesburg,Science,1,75.0,95.0,0,1
NSFAS000044,Busisiwe Mkhize,North-West University,Engineering,2,62.21,76.0,0,3
NSFAS000045,Zanele Mokoena,University of Pretoria,Education,3,60.46,57.0,4,2
NSFAS000046,Nokuthula Mthembu,University of Johannesburg,Law,4,49.0,47.0,2,2
NSFAS000047,Themba Mthethwa,North-West University,Education,2,40.0,46.0,3,5
NSFAS000048,Zanele Zulu,University of Stellenbosch,Science,3,73.74,95.0,1,4
NSFAS000049,Thabo Mabaso,University of the Free State,Education,2,40.0,63.0,1,2
NSFAS000050,Andile Mahlangu,University of Pretoria,Education,1,61.63,75.0,1,1
